market_index_code,descriptor
XTECX,TecDAX Components
XAEXC,AEX Index Components
XAOCM,All Ordinaries Components
XATXC,ATX Components
XBEL20,Bel20 Components
XBBOV,Brazil Bovespa
XCSI,CSI 300 Index (China)
XDJS50,Dow Jones Stoxx 50 Components
XDJCM,DJ Construction & Materials Titans 30 Index
XDJAT,Dow Jones Asian Titans Index Components
XCDJBA,Dow Jones Bond Averages
XDJAP,DJ Automobiles & Parts Titans 30 Index
XDJGTI,Dow Jones Global Titans Index Components
XDJIAC,Dow Jones Industrial Average Components
XDJIIC,Dow Jones Islamic Index Components
XDJTA,Dow Jones Transportation Average
XDJB30,DJ Banks Titans 30 Index
XDJBR,DJ Basic Resources Titans 30 Index
XDJTL,DJ Travel & Leisure Titans 30 Index
XDJCT,DJ Chemicals Titans 30 Index
XDJOIL,DJ Oil & Gas Titans 30 Index
XDJFB,DJ Food & Beverages Titans 30 Index
XDJFS,DJ Financial Services Titans 30 Index
XDJHC,DJ Health Care Titans 30 Index
XDJIGS,DJ Industrial Goods & Services Titans 30 Index
XDJINS,DJ Insurance Titans 30 Index
XDJM30,DJ Media Titans 30 Index
XDJPHG,DJ Personal & Household Goods Titans 30 Index
XDJRE,DJ Real Estate Titans 30 Index
XDJRT,DJ Retail Titans 30 Index
XDJTI,DJ Sector Titans Composite Index
XDJTEL,Dow Jones Sector Titan Index - Telecommunications Components
XDJTEC,Dow Jones Sector Titan Index - Technology Components
XDJUT,DJ Utilities Titans 30 Index
XDJUA,Dow Jones Utilities Average
XUSSCI,US Small Cap Index
XMEMU,MSCI EMU Index
XMEAFE,MSCI EAFE Index
XCAC40,CAC 40 Components
XDJB40,DJ Bourse CAC40
XFTAS,FTSE All-World Index Series
XFTGM,FTSE Gold Mines Index Series
XFT250,FTSE 250 Components
XMIB40,MIB 40 Index (Italy) 
XFT100,FTSE 100 Components
XFTSGE,FTSE Shariah Global Equity Index Series
XDAX,XETRA DAX Components
XTSE,TSE 300 Components
XSPTSX,S&P/TSX composite (Canada)
XHEX,HEX Components 
XHSC,Hang Seng Components
XIBEX,IBEX-35 Components
XNA100,NASDAQ 100 Components
XDAXMC,DAX MidCap Index
XMIB30,Milan MIB30 Index (Italy)
XMEMI,MSCI Emerging Markets (EM) Index
XMPCI,MSCI AC Pacific Index
XMEUI,MSCI Europe Index
XEN100,Euronext 100
XNK225,Nikkei 225 Components
XGLDOW,Global Dow Components Index
XNYCI,NYSE Composite Index Components
XSP100,S&P 100 Index component
XKFX,KFX Components
XSXALL,SX All Share Components
XOBX,OBX Total Components
XPSI20,PSI-20 Components
XR3000,Russell 3000 component
XSP500,S&P 500 Index component
XSMI,SMI Components
XESX50,EuroSTOXX50 
XAMEX,Amex Composite Index
XF500,Fortune 500 Index
XDJGIC,Dow Jones Global Index Components
XNMIC,Neuer Markt Index Components
XDAXSC,DAX SmallCap Index
XDJTI,Dow Jones Sector Titan Index - Financial Components
XTMI,Total Market Indexes
XPEI,Proprietary Energy Indexes
XUSADI,DJ U.S. Aerospace and Defense Index
XUSLCI,US Large Cap Index
