company_codes,desc,industry_codes,publication_date,region_codes,title
",onlnfr,onlnfr,yoinco,","THE statistics speak for themselves -- Facebook has more than 500 million members worldwide.

And Earth's 200 million Twitter converts send one billion tweets a week.",",isocial,iint,imed,",1301097600000,",austr,apacz,ausnz,","Face it, we're all obsessed"
",onlnfr,onlnfr,","Facebook Inc., which filed for a public offering last week, disclosed in its paperwork that although more than half of its 845 million members log into Facebook on a mobile device, the company has not yet found a way to make real money from that use,  reports The New York Times.

The mobile hurdle is particularly troubling because Facebook is realizing much of its worldwide growth in countries like Chile, Turkey and Brazil — countries where the Internet is predominantly accessed via cellphones.",",iint,imed,isocial,",1328572800000,",ustn,namz,usa,uss,",Facebook struggles with mobility
",onlnfr,onlnfr,","Facebook Inc., which filed for a public offering last week, disclosed in its paperwork that although more than half of its 845 million members log into Facebook on a mobile device, the company has not yet found a way to make real money from that use,  reports The New York Times.

The mobile hurdle is particularly troubling because Facebook is realizing much of its worldwide growth in countries like Chile, Turkey and Brazil — countries where the Internet is predominantly accessed via cellphones.",",iint,imed,isocial,",1328572800000,",ustn,namz,usa,uss,",Facebook struggles with mobility
",onlnfr,onlnfr,","WITH over 500 million members, social media networks like Facebook have become a part of daily life.

To meet society's growing desire to be connected at all times, GM's OnStar division is unveiling a new social media interactive program for the car.",",iint,imed,isocial,",1293062400000,",austr,ausnz,apacz,",Facebook in your car
",onlnfr,onlnfr,","WITH over 500 million members, social media networks like Facebook have become a part of daily life.

To meet society's growing desire to be connected at all times, GM's OnStar division is unveiling a new social media interactive program for the car.",",iint,imed,isocial,",1293062400000,",austr,ausnz,apacz,",Facebook in your car
",onlnfr,goog,onlnfr,","PALO ALTO, Calif. — For months, Facebook was uncharacteristically quiet about its membership growth. Whispers among those who closely follow the social-networking giant reached full-throated debate a few weeks ago, with word that Facebook’s numbers were down in the U.S. and several other countries.

But Wednesday, the company broke its silence and announced it had passed 750 million worldwide members who post billions of messages each day.",",iint,imed,isocial,",1309996800000,",usa,usca,namz,usw,",Facebook passes 750 million members
",onlnfr,onlnfr,","FACEBOOK is not the demon that some authorities are trying to make out it is.

At its best, the website is a meeting place for like-minded people, acquaintances, colleagues and friends. At its worst it is a trawling ground for idiots, vandals and even paedophiles.",",iint,imed,isocial,",1289606400000,",austr,ausnz,apacz,",Facebook not to blame for idiots
",twnit,ebayus,goog,onlnfr,twnit,xcmcrp,","Twitter Inc. says it now has 145 million registered users, a big jump from the 105.8 million the company reported in April. The San Francisco microblogging service credits the 27 percent growth spurt to its move to make it easier to access Twitter on mobile devices.

Chief Executive Officer Evan Williams made Twitter's latest milestone public at the end of a blog post that talked about how its users are shifting to mobile devices.",",iint,imed,isocial,",1283558400000,",usca,namz,usa,usw,",Big jump in number of people on Twitter
",twnit,ebayus,goog,onlnfr,twnit,xcmcrp,","Twitter Inc. says it now has 145 million registered users, a big jump from the 105.8 million the company reported in April. The San Francisco microblogging service credits the 27 percent growth spurt to its move to make it easier to access Twitter on mobile devices.

Chief Executive Officer Evan Williams made Twitter's latest milestone public at the end of a blog post that talked about how its users are shifting to mobile devices.",",iint,imed,isocial,",1283558400000,",usca,namz,usa,usw,",Big jump in number of people on Twitter
",elarts,onlnfr,pzaoob,vnu,onlnfr,","Americans are spending a quarter of their Internet time on Facebook or other social networking sites, while online video games have passed sending e-mail as the second most popular online activity, according to a new report from the Nielsen Co.

The report said that Americans spent 22.7 percent of their online time on social networking or blogs in June 2010, a 43 percent increase compared to June 2009.",",iint,imed,isocial,",1280793600000,",usca,namz,usa,usw,","Social media sites, games top 2 online activities"
